Source,Title,Link,Summary,SEO_Score,cleaned,topic_cluster,sentiment_score,lexicon_score,impact_score,impact_level
EconomyNext,India airlifts Bailey Bridge to connect cyclone-hit Sri Lanka,https://economynext.com/india-airlifts-bailey-bridge-to-connect-cyclone-hit-sri-lanka-251535/,The system and can be installed within a few hours to replace damaged bridges,5,india airlifts bailey bridge connect cyclone hit sri lanka system installed within hours replace damaged bridges,5,-0.4404,-4.5,-4.9404,High Risk
EconomyNext,Sri Lanka CEB employee dies restoring power adding to relief worker fatalities,https://economynext.com/sri-lanka-ceb-employee-dies-restoring-power-adding-to-relief-worker-fatalities-251485/,A helicopter pilot died earlier,5,sri lanka ceb employee dies restoring power adding relief worker fatalities helicopter pilot died earlier,0,-0.4939,-7.0,-7.4939,High Risk
EconomyNext,"Sri Lanka farmers had sown 563,000 hectares of rice when cyclone hit",https://economynext.com/sri-lanka-farmers-had-sown-563000-hectares-of-rice-when-cyclone-hit-251511/,Extensive damage to poultry flock and milch cows,5,sri lanka farmers sown 563 000 hectares rice cyclone hit extensive damage poultry flock milch cows,5,-0.4939,-4.5,-4.9939,High Risk
EconomyNext,More than 800 dead or missing in Sri Lanka from Cyclone Ditwah,https://economynext.com/more-than-800-dead-or-missing-in-sri-lanka-from-cyclone-ditwah-251462/,Over 1.6 million hit from floods and landslides,5,800 dead missing sri lanka cyclone ditwah 1 6 million hit floods landslides,5,-0.7579,-9.0,-9.7579,High Risk
EconomyNext,"Sri Lanka sells 1-year dollar bonds for 5.7-pct, 2-y for 6.1-pct",https://economynext.com/sri-lanka-sells-1-year-dollar-bonds-for-5-7-pct-2-y-for-6-1-pct-251443/,88 million dollars bids received.,5,sri lanka sells 1 year dollar bonds 5 7 pct 2 6 1 pct 88 million dollars bids received,0,0.0,0.0,0.0,Neutral
EconomyNext,Sri Lanka says minimum damage to tourism infrastructure; ready to receive foreigners,https://economynext.com/sri-lanka-says-minimum-damage-to-tourism-infrastructure-ready-to-receive-foreigners-251436/,Total damage yet to be assessed amid continued rescue operation,5,sri lanka says minimum damage tourism infrastructure ready receive foreigners total damage yet assessed amid continued rescue operation,1,-0.1531,0.0,-0.1531,Neutral
EconomyNext,ADB gives Sri Lanka $3mn Cyclone Ditwah disaster grant,https://economynext.com/adb-gives-sri-lanka-3mn-cyclone-ditwah-disaster-grant-251431/,Vietnam and Thailand get $2mn each,5,adb gives sri lanka 3mn cyclone ditwah disaster grant vietnam thailand get 2mn,1,-0.3818,-7.0,-7.3818,High Risk
EconomyNext,Sri Lanka Customs faces four-day backlog after disaster; expects normalcy by December,https://economynext.com/sri-lanka-customs-faces-four-day-backlog-after-disaster-expects-normalcy-by-december-251432/,Customs has already reached its 2025 revenue target,5,sri lanka customs faces four day backlog disaster expects normalcy december customs already reached 2025 revenue target,3,-0.5719,-2.5,-3.0719,High Risk
EconomyNext,Sri Lanka gets $100mn budget support loan on power reforms,https://economynext.com/sri-lanka-gets-100mn-budget-support-loan-on-power-reforms-251424/,ADB will give a 2.5 million a grant to build the capacity of un-bundled companies,5,sri lanka gets 100mn budget support loan power reforms adb give 2 5 million grant build capacity un bundled companies,3,0.6369,2.0,2.6369,High Opportunity
EconomyNext,"Sri Lanka rupee strengthens marginally, bond yields edge up",https://economynext.com/sri-lanka-rupee-strengthens-marginally-bond-yields-edge-up-251416/,Shorter end of the yield curve broadly steady while selected tenors saw rates edge up.,5,sri lanka rupee strengthens marginally bond yields edge shorter end yield curve broadly steady selected tenors saw rates edge,0,0.4588,0.0,0.4588,Neutral
EconomyNext,"Sri Lanka stocks close down 1.87-pct, weighed by financials, capital goods",https://economynext.com/sri-lanka-stocks-close-down-1-87-pct-weighed-by-financials-capital-goods-251404/,Market turnover was 3.7 billion rupees,5,sri lanka stocks close 1 87 pct weighed financials capital goods market turnover 3 7 billion rupees,0,0.0,2.0,2.0,Opportunity
EconomyNext,UK pledges 675k pounds for Sri Lanka cyclone disaster relief,https://economynext.com/uk-pledges-675k-pounds-for-sri-lanka-cyclone-disaster-relief-251398/,"Delivered through humanitarian partners on the ground, including Red Cross, UN agencies and local civil society orgs",5,uk pledges 675k pounds sri lanka cyclone disaster relief delivered humanitarian partners ground including red cross un agencies local civil society orgs,1,-0.25,-7.0,-7.25,High Risk
EconomyNext,Ajith Fernando designated Chairman of Sri Lanka’s Hemas group,https://economynext.com/ajith-fernando-designated-chairman-of-sri-lankas-hemas-group-251391/,"Fernando is a veteran in investment banking with over 30 years of experience, the company said.",5,ajith fernando designated chairman sri lanka hemas group fernando veteran investment banking 30 years experience company said,3,0.0,2.0,2.0,Opportunity
EconomyNext,"Sri Lanka restores 2,800 mobile base stations hit by floods",https://economynext.com/sri-lanka-restores-2800-mobile-base-stations-hit-by-floods-251382/,"The remaining 949, inactive due to power outages, are being restored to functionality as soon as possible,",5,sri lanka restores 2 800 mobile base stations hit floods remaining 949 inactive due power outages restored functionality soon possible,5,0.5574,-4.0,-3.4426,High Risk
EconomyNext,Sri Lanka President convenes emergency cabinet meeting,https://economynext.com/sri-lanka-president-convenes-emergency-cabinet-meeting-251378/,Hurricane Ditwah has caused widespread damage,5,sri lanka president convenes emergency cabinet meeting hurricane ditwah caused widespread damage,5,-0.7003,0.0,-0.7003,Risk
EconomyNext,"Sri Lanka rupee depreciates further, bond yields recover",https://economynext.com/sri-lanka-rupee-depreciates-further-bond-yields-recover-251370/,Stocks were up,5,sri lanka rupee depreciates bond yields recover stocks,0,0.0,0.0,0.0,Neutral
EconomyNext,Sri Lanka vegetable prices collapse as supplies flood market after price spike,https://economynext.com/sri-lanka-vegetable-prices-collapse-as-supplies-flood-market-after-price-spike-251300/,"""The road are open so we came,"" a man who appeared to be a collector said. ""But today prices are down""",5,sri lanka vegetable prices collapse supplies flood market price spike road open came man appeared collector said today prices,3,-0.4939,-9.0,-9.4939,High Risk
EconomyNext,Sri Lanka on track to import US LP Gas,https://economynext.com/sri-lanka-on-track-to-import-us-lp-gas-251267/,Geo Gas will supply LPG for 12 months starting from January 2026,5,sri lanka track import us lp gas geo gas supply lpg 12 months starting january 2026,3,0.0,0.0,0.0,Neutral
EconomyNext,Sri Lanka Met Dep warns of impending Northeast monsoon,https://economynext.com/sri-lanka-met-dep-warns-of-impending-northeast-monsoon-251275/,The Northeast monsoon condition is expected to gradually establish over the island during the next few days.,5,sri lanka met dep warns impending northeast monsoon northeast monsoon condition expected gradually establish island next days,3,-0.1027,0.0,-0.1027,Neutral
EconomyNext,"Sri Lanka looks to relax food import controls, after Cyclone disaster: Prime Minister",https://economynext.com/sri-lanka-looks-to-relax-food-import-controls-after-cyclone-disaster-prime-minister-251256/,Depletion of seed paddy also a concern,5,sri lanka looks relax food import controls cyclone disaster prime minister depletion seed paddy also concern,3,-0.296,-9.0,-9.296,High Risk
News.lk,Management Committee of the ‘Rebuilding Sri Lanka’ Fund Appointed with Representatives from the Public and Private Sectors,https://news.lk/news/management-committee-of-the-rebuilding-sri-lanka-fund-appointed-with-representatives-from-the-public-and-private-sectors,"Cabinet approval has been granted to establish the ‘Rebuilding Sri Lanka’ Fund, aimed at rebuilding the country following the severe devastation caused by Cyclone ‘Ditwah’, one of the worst natural disasters in Sri Lanka’s recent history. The Fund is to be established as a statutory fund under the Presidential Secretariat and its Management Committee will comprise representatives from both the public and private sectors.",2,management committee rebuilding sri lanka fund appointed representatives public private sectors cabinet approval granted establish rebuilding sri lanka fund aimed rebuilding country following severe devastation caused cyclone ditwah one worst natural disasters sri lanka recent history fund established statutory fund presidential secretariat management committee comprise representatives public private sectors,3,-0.7579,1.5,0.7421,Opportunity
News.lk,Be Vigilant About Infectious Diseases as Floodwaters Recede,https://news.lk/news/be-vigilant-about-infectious-diseases-as-floodwaters-recede,"Assistant Secretary of the National Disaster Relief Services Centre, Jayatissa Munasinghe",2,vigilant infectious diseases floodwaters recede assistant secretary national disaster relief services centre jayatissa munasinghe,1,-0.0772,-2.5,-2.5772,High Risk
News.lk,"Cyclone Ditva Leaves Over 830,000 Affected; 159 Dead",https://news.lk/news/cyclone-ditva-leaves-over-830-000-affected-159-dead,"Cyclone Ditva has caused widespread damage across the country. According to the Disaster Management Center, 833,985 people from 234,503 families have been affected as of 6.00 am today (30). A total of 159 deaths have been reported, and 203 people are still missing.",2,cyclone ditva leaves 830 000 affected 159 dead cyclone ditva caused widespread damage across country according disaster management center 833 985 people 234 503 families affected 6 00 today 30 total 159 deaths reported 203 people still missing,5,-0.9432,-10.0,-10.0,High Risk
News.lk,Telephone  Numbers Issued for Reporting Disaster Situations,https://news.lk/news/telephone-numbers-issued-for-reporting-disaster-situations,Sri Lanka Police has released the telephone numbers of the operation rooms of 47 police stations across the island. The press release is given below.,2,telephone numbers issued reporting disaster situations sri lanka police released telephone numbers operation rooms 47 police stations across island press release given,1,-0.6249,-4.5,-5.1249,High Risk
News.lk,India Reaffirms Strong Support to Sri Lanka in Disaster Response – PM Modi,https://news.lk/news/india-reaffirms-strong-support-to-sri-lanka-in-disaster-response-pm-modi,"Indian Prime Minister Narendra Modi has assured Sri Lanka of India’s unwavering support during times of disaster, reaffirming the country’s commitment under the Neighbourhood First Policy and Ocean Vision.",2,india reaffirms strong support sri lanka disaster response pm modi indian prime minister narendra modi assured sri lanka india unwavering support times disaster reaffirming country commitment neighbourhood first policy ocean vision,1,0.6808,-9.0,-8.3192,High Risk
News.lk,"Develop a Structured, Scientific Rehabilitation Programme for Drug Addicts",https://news.lk/news/develop-a-structured-scientific-rehabilitation-programme-for-drug-addicts,"President instructs ‘A Nation United’ National Steering Council
President directs Ministry of Justice to formulate new laws aimed at the swift disposal of seized dangerous drugs.",2,develop structured scientific rehabilitation programme drug addicts president instructs nation united national steering council president directs ministry justice formulate new laws aimed swift disposal seized dangerous drugs,3,0.5994,2.0,2.5994,High Opportunity
News.lk,Weather Forecast,https://news.lk/news/weather-forecast-5,"







A low-pressure area has formed over South Andaman Sea area. It is likely to move west-northwestwards and intensify into a depression over South-east Bay of Bengal today (24).",2,weather forecast low pressure area formed south andaman sea area likely move west northwestwards intensify depression south east bay bengal today 24,2,-0.7906,0.0,-0.7906,Risk
News.lk,Weather Forecast,https://news.lk/news/weather-forecast-4,"







Prevailing showery condition over the island is expected to continue further during the next few days.",2,weather forecast prevailing showery condition island expected continue next days,2,0.0,0.0,0.0,Neutral
News.lk,SLIIT Law Faculty Students Visit President’s House,https://news.lk/news/sliit-law-faculty-students-visit-presidents-house,"The students of the Faculty of Law of the Sri Lanka Institute of Information Technology (SLIIT), Malabe, were given the opportunity to participate in the ‘Vision’ programme organised by the Presidential Secretariat, today (21).
This programme is implemented for students jointly by the Presidential Secretariat, the Ministry of Education and the Department of Communication of the Parliament.
In parallel with this programme, a valuable donation of saplings was made to the institute as a symbolic gesture highlighting the importance of environmental conservation.
Senior Additional Secretary to the President, Mr. Roshan Gamage, Lecturer of the Faculty of Law of the Sri Lanka Institute of Information Technology (SLIIT), Mr. Gimhan Sooriyabandara and Major Nadeeka Dangolla, Assistant Director of the Tri-Forces Coordination Unit at the Presidential Secretariat participated at the event.",2,sliit law faculty students visit president house students faculty law sri lanka institute information technology sliit malabe given opportunity participate vision programme organised presidential secretariat today 21 programme implemented students jointly presidential secretariat ministry education department communication parliament parallel programme valuable donation saplings made institute symbolic gesture highlighting importance environmental conservation senior additional secretary president mr roshan gamage lecturer faculty law sri lanka institute information technology sliit mr gimhan sooriyabandara major nadeeka dangolla assistant director tri forces coordination unit presidential secretariat participated event,3,0.8555,4.0,4.8555,High Opportunity
News.lk,Support the continued maintenance of the economic stability we have achieved – President tells the Government Medical Officers’ Association,https://news.lk/news/support-the-continued-maintenance-of-the-economic-stability-we-have-achieved-president-tells-the-government-medical-officers-association,"“Let us rebuild this country together, without creating a situation where you keep asking and I simply keep giving.” – President",2,support continued maintenance economic stability achieved president tells government medical officers association let us rebuild country together without creating situation keep asking simply keep giving president,1,0.4959,0.0,0.4959,Neutral
News.lk,Discussion held to establish a stable programme to resolve issues faced by local big onion farmers,https://news.lk/news/discussion-held-to-establish-a-stable-programme-to-resolve-issues-faced-by-local-big-onion-farmers,"A discussion aimed at formulating a systematic programme to address the issues faced by local big onion farmers was held this morning (17) at the Presidential Secretariat. It was held under the patronage of the Minister of Agriculture, Livestock, Land and Irrigation, K. D. Lal Kantha, together with the Minister of Trade, Commerce, Food Security and Cooperative Development, Wasantha Samarasinghe.
Minister K. D. Lal kantha pointed out that while a concrete programme has long existed to safeguard paddy farmers, no such systematic plan had been developed for other crops. He stated that this is the first time a government is preparing a definitive programme to resolve the problems of big onion farmers, emphasising that the present government’s objective is to protect all farmers and improve their living standards.
During the discussion, it was highlighted that while seeking solutions to issues in the big onion sector, priority must be given to farmer-related challenges, while also ensuring onions are made available to consumers at affordable prices. The Minister further emphasised that all decisions must be based on accurate data.
Matters relating to increasing big onion production and the pricing mechanism were discussed in detail. The Department of Agriculture also presented a report outlining strategies and actions for sustainable production and marketing related to local big onion cultivation.
A planned programme is currently underway to increase big onion production from 17% in 2025 to 22% in 2026 and 27% in 2027.
It was also stressed that the government has decided to introduce a stable price for big onions in a manner that is fair to farmers. Lengthy discussions were held on steps that could be taken to improve storage and other facilities for farmers.
Farmers pointed out that sharp price fluctuations caused by wide market gaps posed a major challenge, yet they continue with their cultivation amidst this risk. They requested the government to provide the necessary facilities to allow them to continue big onion cultivation as a sector that could generate significant income.
As many of the farmers engaged in this sector operate on small landholdings, Minister K. D. Lalkantha emphasised the need to consider such factors when calculating production costs and making policy decisions. He also urged all farmers to register under the Department of Agrarian Development so that necessary interventions can be made promptly in emergencies.
Farmers expressed their appreciation to the government for intervening with a definitive programme, where something is being done for the first time to address their challenges. They noted their confidence in the present government and said they were ready to work together with it in seeking solutions.
Deputy Minister of Agriculture and Livestock, Namal Karunaratne; Secretary to the Ministry of Agriculture, Livestock, Lands and Irrigation, D. P. Wickramasinghe; Senior Additional Secretary to the President, Kapila Janaka Bandara; Director General of Agriculture, Dr W. A. R. T. Wickramarachchi; senior officials of the Department of Agriculture; and a group of big onion farmers representing Dambulla and Galenbindunuwewa also took part in this discussion.",2,discussion held establish stable programme resolve issues faced local big onion farmers discussion aimed formulating systematic programme address issues faced local big onion farmers held morning 17 presidential secretariat held patronage minister agriculture livestock land irrigation k lal kantha together minister trade commerce food security cooperative development wasantha samarasinghe minister k lal kantha pointed concrete programme long existed safeguard paddy farmers systematic plan developed crops stated first time government preparing definitive programme resolve problems big onion farmers emphasising present government objective protect farmers improve living standards discussion highlighted seeking solutions issues big onion sector priority must given farmer related challenges also ensuring onions made available consumers affordable prices minister emphasised decisions must based accurate data matters relating increasing big onion production pricing mechanism discussed detail department agriculture also presented report outlining strategies actions sustainable production marketing related local big onion cultivation planned programme currently underway increase big onion production 17 2025 22 2026 27 2027 also stressed government decided introduce stable price big onions manner fair farmers lengthy discussions held steps could taken improve storage facilities farmers farmers pointed sharp price fluctuations caused wide market gaps posed major challenge yet continue cultivation amidst risk requested government provide necessary facilities allow continue big onion cultivation sector could generate significant income many farmers engaged sector operate small landholdings minister k lalkantha emphasised need consider factors calculating production costs making policy decisions also urged farmers register department agrarian development necessary interventions made promptly emergencies farmers expressed appreciation government intervening definitive programme something done first time address challenges noted confidence present government said ready work together seeking solutions deputy minister agriculture livestock namal karunaratne secretary ministry agriculture livestock lands irrigation p wickramasinghe senior additional secretary president kapila janaka bandara director general agriculture dr w r wickramarachchi senior officials department agriculture group big onion farmers representing dambulla galenbindunuwewa also took part discussion,3,0.9886,2.0,2.9886,High Opportunity
News.lk,Global Entrepreneurship Week 2025 Begins Under the Patronage of the Prime Minister,https://news.lk/news/global-entrepreneurship-week-2025-begins-under-the-patronage-of-the-prime-minister,All sectors must work in collective effort to empower local entrepreneurs for a digital economy.,2,global entrepreneurship week 2025 begins patronage prime minister sectors must work collective effort empower local entrepreneurs digital economy,3,0.0,2.0,2.0,Opportunity
News.lk,Cabinet Decisions,https://news.lk/news/cabinet-decisions,Cabinet Decisions taken at 10.11.2025,2,cabinet decisions cabinet decisions taken 10 11 2025,3,0.0,0.0,0.0,Neutral
Onlanka.com,HUTCH donates LKR 60 Million to support Sri Lankans affected by adverse weather,https://www.onlanka.com/news/hutch-donates-lkr-60-million-to-support-sri-lankans-affected-by-adverse-weather.html,"HUTCH, a leading telecommunications service provider in Sri Lanka, has donated LKR 60 million to assist people affected by the recent adverse weather in the country.
The post HUTCH donates LKR 60 Million to support Sri Lankans affected by adverse weather appeared first on Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA.",1,hutch donates lkr 60 million support sri lankans affected adverse weather hutch leading telecommunications service provider sri lanka donated lkr 60 million assist people affected recent adverse weather country post hutch donates lkr 60 million support sri lankans affected adverse weather appeared first sri lanka news breaking news amp top stories sri lanka onlanka,1,-0.4767,0.0,-0.4767,Risk
Onlanka.com,Sri Lanka President honors Air Force Hero lost in relief mission,https://www.onlanka.com/news/sri-lanka-president-honors-air-force-hero-lost-in-relief-mission.html,"Sri Lanka President Anura Kumara Dissanayake paid his final respects to the remains of Group Captain Nirmal Siyambalapitiya, the pilot who died in the helicopter crash that occurred in the Lunuwila area in Wennappuwa while providing relief to disaster-affected communities.
The post Sri Lanka President honors Air Force Hero lost in relief mission appeared first on Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA.",1,sri lanka president honors air force hero lost relief mission sri lanka president anura kumara dissanayake paid final respects remains group captain nirmal siyambalapitiya pilot died helicopter crash occurred lunuwila area wennappuwa providing relief disaster affected communities post sri lanka president honors air force hero lost relief mission appeared first sri lanka news breaking news amp top stories sri lanka onlanka,1,0.891,-3.0,-2.109,High Risk
Onlanka.com,Japan sends medical team to support Sri Lanka after Cyclone Ditwah,https://www.onlanka.com/news/japan-sends-medical-team-to-support-sri-lanka-after-cyclone-ditwah.html,"Japan has sent a Japan Disaster Relief (JDR) Medical Team to help Sri Lanka recover from the damage caused by Cyclone Ditwah.
The post Japan sends medical team to support Sri Lanka after Cyclone Ditwah appeared first on Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA.",1,japan sends medical team support sri lanka cyclone ditwah japan sent japan disaster relief jdr medical team help sri lanka recover damage caused cyclone ditwah post japan sends medical team support sri lanka cyclone ditwah appeared first sri lanka news breaking news amp top stories sri lanka onlanka,1,0.5719,-10.0,-9.4281,High Risk
Onlanka.com,India sends more disaster relief to Sri Lanka after Cyclone Ditwah,https://www.onlanka.com/news/india-sends-more-disaster-relief-to-sri-lanka-after-cyclone-ditwah.html,"India delivered another shipment of disaster relief supplies to Sri Lanka yesterday (December 3) to support communities affected by Cyclone Ditwah.
The post India sends more disaster relief to Sri Lanka after Cyclone Ditwah appeared first on Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA.",1,india sends disaster relief sri lanka cyclone ditwah india delivered another shipment disaster relief supplies sri lanka yesterday december 3 support communities affected cyclone ditwah post india sends disaster relief sri lanka cyclone ditwah appeared first sri lanka news breaking news amp top stories sri lanka onlanka,1,-0.2732,-10.0,-10.0,High Risk
Onlanka.com,Pakistan sends relief team and aid to Sri Lanka after Cyclone Ditwah,https://www.onlanka.com/news/pakistan-sends-relief-team-and-aid-to-sri-lanka-after-cyclone-ditwah.html,"A Pakistan Air Force C-130 aircraft carrying relief supplies and an elite search and rescue team arrived in Sri Lanka yesterday evening (December 3) at 6:45 PM.
The post Pakistan sends relief team and aid to Sri Lanka after Cyclone Ditwah appeared first on Sri Lanka News | Breaking News &amp; Top Stories in Sri Lanka | ONLANKA.",1,pakistan sends relief team aid sri lanka cyclone ditwah pakistan air force c 130 aircraft carrying relief supplies elite search rescue team arrived sri lanka yesterday evening december 3 6 45 pm post pakistan sends relief team aid sri lanka cyclone ditwah appeared first sri lanka news breaking news amp top stories sri lanka onlanka,1,0.9246,5.0,5.9246,High Opportunity
